°	400	600	700	750	830	900	1000	1200	1400	1600	1800	2000	2200	2400	2500	2600	2800	3000	3200	3400	3600	3800	3900	4000	4100	4200	4400	4800	5200	5600	6000	6200	6400	rpm
0.04	19.5	21	22.5	24	25.5	28	31.5	32.5	33	34	37.5	42	42	44.5	45	45	44	45	43	41	42	43	42.5	42	42	41	39	36	37	34.5	32.5	32.5	34
0.06	19.5	21	22.5	24	25.5	28	31.5	32.5	33	34	37.5	42	42	44.5	45	45	44	45	43	41	42	43	42.5	42	42	41	39	36	37	34.5	32.5	32.5	34
0.08	19.5	21	22.5	24	25.5	28	31.5	32.5	33	34	37.5	42	42	44.5	45	45	44	45	43	41	42	43	42.5	42	42	41	39	36	37	34.5	32.5	32.5	33.5
0.1	18	19.5	21	22.5	25.5	28	31.5	32.5	34.5	36	39	41.5	42	43	43	43.5	42.5	43	42	41	41	42	42	42	41.5	40.5	39.5	37	36	33.5	32	32	33.5
0.12	17.5	19	20.5	22	25.5	28	30	32.5	35.5	38.5	41	41.5	42	42	41.5	41.5	41.5	41.5	41.5	41.5	41	41.5	41.5	42	41.5	41	40	38	35	33	31.5	32	33.5
0.14	16.5	18	19.5	21	24	25	28	30	32.5	34.5	36.5	37	38	38.5	37.5	36.5	37	37	37	37.5	38	37.5	38	38	38	37.5	36.5	36	34	31.5	30.5	30.5	31.5
0.16	15	17.5	19	19.5	20.5	21.5	22.5	27.5	29.5	31.5	34	34.5	35	35.5	34.5	33.5	33	34	33.5	34	34.5	34	34	34.5	34.5	34.5	34.5	34	33	30.5	27	27	29.5
0.18	11	13	17.5	18	18.5	19.5	20.5	25.5	28	29	32	32	32	33	32	31	31	31.5	31	32	32.5	31.5	32	32.5	32.5	32.5	33	32	30	29.5	26.5	25.5	26
0.2	7.5	10	12.5	14	16.5	17.5	18.5	23.5	26.5	27	29.5	30	30	30.5	29.5	29.5	29	29.5	29	30	30	30	30	30.5	30.5	31	31.5	30.5	29	28	21.5	22	21.5
0.22	6.5	9	11.5	12	13.5	16.5	17.5	21.5	24.5	25.5	27.5	28	28	28	28	27.5	27.5	27.5	27.5	28	28.5	28.5	28.5	28.5	28.5	29	29.5	29	28	23	20	22	19
0.24	5.5	8	10	10.5	12.5	15.5	16.5	18	22.5	24.5	25.5	26	26	26.5	26	25.5	25.5	26	26	26	26.5	26.5	27	27	27	27	27	27.5	25	19	18	19	18
0.26	4	6	8	8.5	10.5	13	14	16	20.5	22	24	24.5	24.5	25	24.5	24.5	24	24.5	24.5	24.5	25.5	25.5	25.5	25.5	25.5	25.5	25.5	26.5	23	19	16	18.5	17.5
0.28	0	3	5.5	5	8	11	12.5	15	18.5	19	22	23	23	23.5	23.5	23.5	23	23.5	23.5	23.5	24	24	24	24	24.5	24.5	24.5	25	22.5	19	16	18	17.5
0.3	-3.5	-1	1.5	3	5.5	6.5	8	10	16	17	20	21	21.5	22	22	22.5	22.5	22.5	22.5	22.5	22.5	23	23	23	23.5	23.5	23.5	24	22.5	20.5	20	20	20.5
0.32	-2	0.5	1.5	2	3	4	5	7.5	14	15	18.5	19	20	20.5	21	21.5	21.5	22	22	22	22	22.5	22.5	22.5	22.5	22.5	22	22.5	21.5	20	20	20	19
0.34	-3	-1.5	-0.5	0	0.5	1	2	5	11.5	13.5	16.5	17	18	19	20	20.5	21	21.5	21.5	21.5	21.5	21.5	21.5	22	21.5	21.5	21	21.5	20.5	19	19.5	20	19
0.36	-4	-2.5	-2	-1.5	-1	-0.5	0.5	4	10	12	14.5	15	17	18	18.5	19	20	21	21	21	21	21	21	21	21	20.5	20.5	20.5	19	18.5	19	19.5	20
0.38	-5	-3.5	-3	-2.5	-2	-1.5	-1	3	8.5	10.5	12.5	13.5	16	17	17.5	18	19	20	20.5	20.5	20	20.5	20.5	20.5	20.5	20	19.5	19.5	17	18	19	19	19.5
