°	400	600	700	750	830	900	1000	1200	1400	1600	1800	2000	2200	2400	2500	2600	2800	3000	3200	3400	3600	3800	3900	4000	4100	4200	4400	4800	5200	5600	6000	6200	6400	rpm
0.04	19.5	21	22.5	24	25.5	28	31.5	32.5	33	34	37.5	42	42	44.5	45	45	44	45	43	41	42	43	42.5	42	42	41	39	36	37	34.5	32.5	32.5	34
0.06	19.5	21	22.5	24	25.5	28	31.5	32.5	33	34	37.5	42	42	44.5	45	45	44	45	43	41	42	43	42.5	42	42	41	39	36	37	34.5	32.5	32.5	34
0.08	19.5	21	22.5	24	25.5	28	31.5	32.5	33	34	37.5	42	42	44.5	45	45	44	45	43	41	42	43	42.5	42	42	41	39	36	37	34.5	32.5	32.5	33.5
0.1	18	19.5	21	22.5	25.5	28	31.5	32.5	34.5	36	39	41.5	42	43	43	43.5	42.5	43	42	41	41	42	42	42	41.5	40.5	39.5	37	36	33.5	32	32	33.5
0.12	17.5	19	20.5	22	25.5	28	30	31.5	34.5	37.5	40.5	41	41.5	42	41.5	41.5	41.5	41.5	41.5	41.5	41	41.5	41.5	42	41.5	41	40	38	35	33	31.5	32	33.5
0.14	15.5	17	18.5	20	23	24	27	28	30.5	32.5	35	35.5	37	38	37	36	37	37	37	37.5	38	37.5	38	38	38	37.5	36.5	36	33.5	31	30	30	31
0.16	12.5	15	16.5	17	18.5	19.5	20.5	24	26.5	29	31	32	33	34	33.5	32.5	32.5	33.5	33	33.5	34	33	33	34	34	34	34	33.5	32.5	29	26	26	28.5
0.18	8.5	10.5	12	12.5	14	15.5	16.5	19	21.5	25.5	27.5	28.5	29	30.5	30	29.5	30	30.5	30	29	29.5	28	28.5	29	29	29	29.5	28.5	27	24	23	22	23
0.2	2.5	5	6.5	7	8	9	11	13	16	19.5	23	24	26	26	26	27	27	28	27.5	26.5	26.5	26	26	26	26	26.5	27	26	24	21	18	18	18.5
0.22	-1	1.5	3	3.5	4.5	5.5	7	9	11.5	15	20	20.5	22	23	23.5	23.5	24.5	25	25	23.5	24	24	23.5	23.5	23.5	24	24	23.5	20	17	16	17.5	16
0.24	-6.5	-4	-2.5	-2	-0.5	1.5	3	5	6.5	9.5	14.5	16	17	17.5	18	18.5	19.5	19.5	20	18.5	19	19.5	19.5	19.5	20	20	20	20.5	17	13	13	15	15
0.26	-8.5	-7	-6	-5.5	-4.5	-3	-0.5	2	4	7	10.5	10.5	12.5	13.5	14	14	14.5	14.5	16	14.5	16	17	17.5	17	17	17	17	17.5	14.5	13	12	14.5	14.5
0.28	-13	-10.5	-8.5	-8	-7	-5	-4	0	1	3	6.5	7.5	8.5	9	9.5	11	11	11	11.5	10	12	13.5	14	14	14.5	14.5	14.5	14.5	12	12	11	14.5	14.5
0.3	-17	-14.5	-13	-12.5	-11	-9.5	-7	-4	-2	0.5	4.5	6	6	6.5	7	7.5	9	9	9	7.5	8	10.5	11.5	12	12.5	12.5	11.5	11.5	10	11.5	13	14.5	14
0.32	-19	-16.5	-15.5	-15	-13	-11	-7.5	-7	-5	-1	2.5	3.5	3.5	5	5.5	5.5	7	7.5	8	7	7	9	9.5	10.5	10.5	11	10.5	10.5	9.5	11	13.5	14	15
0.34	-20	-18.5	-17.5	-17	-15	-12.5	-9.5	-9	-6.5	-2.5	1	1.5	2	3.5	3.5	4	6	6.5	7	7	6.5	8	8	8.5	9	9	8.5	10	9	11	12	13.5	15
0.36	-20	-18.5	-18	-17.5	-16	-13.5	-11	-10	-6.5	-3.5	0	0	1.5	2	1.5	2.5	4.5	5.5	6	6.5	6	7	7	7	6.5	6.5	7	8.5	8	9.5	11	12	14
0.38	-20.5	-19	-18.5	-18	-16.5	-14.5	-12.5	-10.5	-7.5	-4.5	-1	-0.5	0	0	-0.5	0	2.5	4	5	6	5.5	6	6	6	5.5	6	6	7.5	7	8.5	10.5	11	12.5
